Station,Year,Month,AVG_Monthly_Min_Temp,AVG_Monthly_Max_Temp,AVG_Monthly_Rainfall,AVG_Monthly_Sunshine,AVG_Monthly_Humidity
Bogra,1961,1,12.4,24.8,1.0,8.5,75.0
Bogra,1961,2,12.9,24.4,1.0,7.5,67.0
Bogra,1961,3,18.2,33.4,0.0,8.3,57.0
Bogra,1961,4,22.0,35.5,1.0,8.7,59.0
Bogra,1961,5,23.3,33.2,4.0,8.5,79.0
Bogra,1961,6,24.7,30.3,11.0,5.3,85.0
Bogra,1961,7,25.7,31.4,5.0,5.9,82.0
Bogra,1961,8,25.5,30.9,16.0,5.9,86.0
Bogra,1961,9,25.0,31.4,4.0,6.2,83.0
Bogra,1961,10,23.4,30.2,6.0,7.2,81.0
Bogra,1961,11,16.7,27.1,0.0,8.5,76.0
Bogra,1961,12,11.4,23.6,0.0,8.5,76.0
Chittagong,1961,1,14.7,25.5,0.0,8.2,71.0
Chittagong,1961,2,15.2,26.0,0.0,8.4,69.0
Chittagong,1961,3,21.6,29.3,1.0,8.5,81.0
Chittagong,1961,4,24.2,31.9,1.0,9.8,79.0
Chittagong,1961,5,25.3,32.0,3.0,8.4,79.0
Chittagong,1961,6,24.5,30.3,31.0,4.9,85.0
Chittagong,1961,7,24.5,29.1,37.0,4.7,88.0
Chittagong,1961,8,24.7,30.2,29.0,6.8,86.0
Chittagong,1961,9,24.4,30.0,6.0,5.9,83.0
Chittagong,1961,10,23.9,30.4,11.0,7.8,81.0
Chittagong,1961,11,18.7,27.5,0.0,9.2,73.0
Chittagong,1961,12,13.5,24.0,0.0,10.1,71.0
Cox's Bazar,1961,1,15.6,25.9,0.0,8.5,72.0
Cox's Bazar,1961,2,15.9,26.5,0.0,8.7,71.0
Cox's Bazar,1961,3,21.4,28.5,0.0,8.7,80.0
Cox's Bazar,1961,4,24.1,31.4,1.0,9.7,76.0
Cox's Bazar,1961,5,25.2,31.4,8.0,7.5,80.0
Cox's Bazar,1961,6,24.8,29.9,20.0,5.0,85.0
Cox's Bazar,1961,7,24.1,28.0,43.0,3.7,90.0
Cox's Bazar,1961,8,24.3,28.4,28.0,4.5,89.0
Cox's Bazar,1961,9,24.0,28.0,19.0,4.6,88.0
Cox's Bazar,1961,10,23.5,29.3,12.0,8.0,83.0
Cox's Bazar,1961,11,19.7,27.9,1.0,10.0,74.0
Cox's Bazar,1961,12,14.7,25.2,0.0,10.3,71.0
Dhaka,1961,1,12.1,25.2,0.0,8.2,68.0
Dhaka,1961,2,13.6,24.9,0.0,7.4,65.0
Dhaka,1961,3,21.4,32.1,1.0,8.2,68.0
Dhaka,1961,4,23.3,33.6,7.0,8.6,68.0
Dhaka,1961,5,24.6,31.2,4.0,8.1,77.0
Dhaka,1961,6,24.9,29.7,28.0,4.2,85.0
Dhaka,1961,7,25.3,30.1,9.0,5.7,84.0
Dhaka,1961,8,25.4,30.0,9.0,5.2,85.0
Dhaka,1961,9,25.1,29.9,8.0,5.8,84.0
Dhaka,1961,10,23.3,29.8,2.0,7.3,81.0
Dhaka,1961,11,16.3,27.1,0.0,9.1,74.0
Dhaka,1961,12,10.5,24.7,0.0,9.3,75.0
Sylhet,1961,1,20.5,29.5,0.0,6.2,76.0
Sylhet,1961,2,20.6,29.6,0.0,6.3,76.0
Sylhet,1961,3,20.4,29.6,1.0,6.3,74.0
Sylhet,1961,4,21.6,30.8,6.0,6.3,69.0
Sylhet,1961,5,22.8,31.1,19.0,6.4,74.0
Sylhet,1961,6,24.0,29.7,31.0,6.4,82.0
Sylhet,1961,7,24.6,31.1,14.0,6.4,80.0
Sylhet,1961,8,24.8,30.7,17.0,6.5,81.0
Sylhet,1961,9,24.3,30.9,16.0,6.5,78.0
Sylhet,1961,10,22.8,29.7,3.0,6.5,77.0
Sylhet,1961,11,16.9,27.6,0.0,6.6,68.0
Sylhet,1961,12,12.0,25.0,0.0,6.6,63.0
Bogra,1962,1,10.4,23.5,0.0,8.5,71.0
Bogra,1962,2,14.4,27.7,0.0,8.6,67.0
Bogra,1962,3,16.4,33.4,0.0,9.4,50.0
Bogra,1962,4,21.9,35.3,1.0,8.4,55.0
Bogra,1962,5,22.6,31.9,9.0,7.7,76.0
Bogra,1962,6,24.9,31.0,7.0,4.5,84.0
Bogra,1962,7,25.5,31.3,10.0,6.4,83.0
Bogra,1962,8,25.7,30.3,5.0,4.5,85.0
Bogra,1962,9,25.6,31.8,2.0,6.9,80.0
Bogra,1962,10,22.3,30.4,1.0,7.7,77.0
Bogra,1962,11,16.1,28.9,0.0,9.2,71.0
Bogra,1962,12,13.1,26.1,0.0,8.6,72.0
Chittagong,1962,1,11.9,24.3,0.0,9.7,68.0
Chittagong,1962,2,16.0,27.5,1.0,8.8,70.0
Chittagong,1962,3,19.4,30.5,9.0,9.4,70.0
Chittagong,1962,4,23.5,31.0,1.0,9.1,79.0
Chittagong,1962,5,24.3,31.5,7.0,9.2,79.0
Chittagong,1962,6,24.6,29.6,23.0,4.4,85.0
Chittagong,1962,7,25.1,30.4,17.0,7.0,85.0
Chittagong,1962,8,24.6,29.8,9.0,5.7,87.0
Chittagong,1962,9,25.0,31.3,8.0,7.0,83.0
Chittagong,1962,10,23.5,30.2,8.0,7.5,82.0
Chittagong,1962,11,18.3,28.2,0.0,10.0,77.0
Chittagong,1962,12,14.6,26.0,0.0,8.3,74.0
Cox's Bazar,1962,1,12.9,23.6,0.0,9.9,67.0
Cox's Bazar,1962,2,16.6,27.5,0.0,9.4,70.0
Cox's Bazar,1962,3,19.4,29.7,0.0,9.3,70.0
Cox's Bazar,1962,4,23.6,30.7,1.0,9.3,75.0
Cox's Bazar,1962,5,24.3,31.3,9.0,8.7,74.0
Cox's Bazar,1962,6,24.7,28.9,36.0,4.4,85.0
Cox's Bazar,1962,7,24.8,29.4,21.0,5.8,84.0
Cox's Bazar,1962,8,24.5,28.7,17.0,5.6,86.0
Cox's Bazar,1962,9,24.7,30.0,10.0,6.6,83.0
Cox's Bazar,1962,10,23.5,29.8,8.0,7.8,81.0
Cox's Bazar,1962,11,18.7,28.3,0.0,10.6,75.0
Cox's Bazar,1962,12,15.8,26.3,0.0,10.0,73.0
Dhaka,1962,1,9.2,24.5,0.0,9.0,68.0
Dhaka,1962,2,14.3,28.1,1.0,8.8,65.0
Dhaka,1962,3,17.5,33.5,0.0,9.8,47.0
Dhaka,1962,4,22.9,34.1,6.0,8.4,66.0
Dhaka,1962,5,23.2,31.6,5.0,8.6,76.0
Dhaka,1962,6,25.2,30.3,6.0,4.3,84.0
Dhaka,1962,7,26.0,30.8,12.0,6.6,83.0
Dhaka,1962,8,25.4,29.9,9.0,4.1,84.0
Dhaka,1962,9,25.2,30.9,10.0,6.4,82.0
Dhaka,1962,10,22.7,29.7,6.0,6.9,76.0
Dhaka,1962,11,16.5,27.9,0.0,9.9,72.0
Dhaka,1962,12,12.3,25.3,0.0,9.4,72.0
Sylhet,1962,1,10.4,24.1,0.0,9.1,60.0
Sylhet,1962,2,14.4,27.3,2.0,8.7,60.0
Sylhet,1962,3,16.5,31.1,0.0,9.4,46.0
Sylhet,1962,4,21.0,31.2,7.0,8.2,67.0
Sylhet,1962,5,21.6,29.5,11.0,7.5,74.0
Sylhet,1962,6,24.2,29.4,31.0,3.8,86.0
Sylhet,1962,7,25.1,31.2,11.0,6.1,82.0
Sylhet,1962,8,24.2,28.9,25.0,3.5,86.0
Sylhet,1962,9,24.6,31.5,6.0,7.1,81.0
Sylhet,1962,10,21.6,30.1,3.0,8.1,80.0
Sylhet,1962,11,16.9,27.5,0.0,10.0,76.0
Sylhet,1962,12,13.4,25.7,0.0,9.7,72.0
Bogra,1963,1,10.5,25.1,0.0,8.6,69.0
Bogra,1963,2,13.4,30.0,0.0,8.8,60.0
Bogra,1963,3,16.9,32.1,1.0,8.3,58.0
Bogra,1963,4,20.9,33.4,2.0,7.8,63.0
Bogra,1963,5,22.4,31.2,5.0,7.8,78.0
Bogra,1963,6,24.9,30.7,9.0,4.9,83.0
Bogra,1963,7,25.7,30.3,15.0,5.5,86.0
Bogra,1963,8,25.8,30.5,7.0,5.6,83.0
Bogra,1963,9,25.7,31.4,6.0,7.0,82.0
Bogra,1963,10,22.3,29.9,8.0,7.2,82.0
Bogra,1963,11,17.2,27.9,1.0,9.5,78.0
Bogra,1963,12,13.4,26.0,0.0,8.7,73.0
Chittagong,1963,1,12.1,25.1,0.0,9.6,67.0
Chittagong,1963,2,16.6,28.4,0.0,9.7,66.0
Chittagong,1963,3,20.1,30.1,1.0,8.4,72.0
Chittagong,1963,4,22.2,30.3,2.0,8.3,78.0
Chittagong,1963,5,22.9,30.1,7.0,7.6,83.0
Chittagong,1963,6,24.0,29.3,18.0,4.0,90.0
Chittagong,1963,7,24.6,29.3,24.0,3.4,93.0
Chittagong,1963,8,24.7,30.3,9.0,5.9,91.0
Chittagong,1963,9,24.3,31.1,4.0,6.7,84.0
Chittagong,1963,10,23.8,30.0,6.0,7.3,82.0
Chittagong,1963,11,19.0,28.3,0.0,10.2,78.0
Chittagong,1963,12,15.5,26.1,0.0,9.6,77.0
Cox's Bazar,1963,1,13.3,25.2,0.0,10.0,67.0
Cox's Bazar,1963,2,17.1,28.4,0.0,9.9,68.0
Cox's Bazar,1963,3,19.4,29.6,0.0,9.2,71.0
Cox's Bazar,1963,4,22.1,30.1,5.0,8.8,78.0
Cox's Bazar,1963,5,23.2,30.0,20.0,7.4,77.0
Cox's Bazar,1963,6,24.2,29.0,34.0,5.9,85.0
Cox's Bazar,1963,7,24.5,28.2,29.0,2.7,90.0
Cox's Bazar,1963,8,24.5,28.9,10.0,5.2,88.0
Cox's Bazar,1963,9,24.0,29.9,13.0,6.2,83.0
Cox's Bazar,1963,10,23.2,29.6,12.0,7.4,82.0
Cox's Bazar,1963,11,19.6,28.4,0.0,10.7,75.0
Cox's Bazar,1963,12,17.5,26.2,0.0,9.7,71.0
Dhaka,1963,1,10.6,24.5,0.0,9.1,65.0
Dhaka,1963,2,15.1,29.6,0.0,9.4,56.0
Dhaka,1963,3,18.3,32.3,2.0,9.0,53.0
Dhaka,1963,4,21.4,32.7,3.0,8.3,65.0
Dhaka,1963,5,23.2,30.8,7.0,7.9,77.0
Dhaka,1963,6,25.2,30.3,17.0,5.1,83.0
Dhaka,1963,7,25.8,30.2,13.0,5.3,83.0
Dhaka,1963,8,25.9,30.3,6.0,6.5,83.0
Dhaka,1963,9,25.6,31.1,7.0,6.6,83.0
Dhaka,1963,10,23.1,29.9,6.0,7.3,81.0
Dhaka,1963,11,17.4,27.7,1.0,9.6,75.0
Dhaka,1963,12,13.4,25.6,0.0,9.3,72.0
Sylhet,1963,1,11.1,24.9,0.0,9.6,62.0
Sylhet,1963,2,14.5,28.4,1.0,9.2,56.0
Sylhet,1963,3,17.1,30.6,2.0,9.2,54.0
Sylhet,1963,4,19.7,30.3,7.0,8.0,67.0
Sylhet,1963,5,21.6,28.5,15.0,6.3,79.0
Sylhet,1963,6,23.9,29.5,21.0,4.1,86.0
Sylhet,1963,7,24.8,30.2,23.0,4.4,86.0
Sylhet,1963,8,24.7,30.1,19.0,4.6,86.0
Sylhet,1963,9,24.5,31.0,17.0,6.6,82.0
Sylhet,1963,10,21.9,28.7,6.0,6.6,82.0
Sylhet,1963,11,17.3,27.6,1.0,9.0,77.0
Sylhet,1963,12,14.2,25.8,0.0,8.8,72.0
Bogra,1964,1,10.4,23.6,0.0,8.3,64.0
Bogra,1964,2,13.8,28.0,0.0,8.0,59.0
Bogra,1964,3,18.4,33.6,1.0,8.0,50.0
Bogra,1964,4,22.2,32.9,2.0,6.9,68.0
Bogra,1964,5,20.7,29.7,0.0,7.9,77.0
Bogra,1964,6,25.2,31.1,9.0,2.6,83.0
Bogra,1964,7,25.1,29.7,13.0,3.7,85.0
Bogra,1964,8,26.0,30.7,7.0,6.4,82.0
Bogra,1964,9,25.6,31.1,8.0,5.5,83.0
Bogra,1964,10,24.1,30.0,7.0,6.1,84.0
Bogra,1964,11,17.7,28.3,0.0,9.0,74.0
Bogra,1964,12,13.2,25.7,0.0,6.6,72.0
Chittagong,1964,1,13.9,25.0,0.0,8.9,69.0
Chittagong,1964,2,16.8,27.6,0.0,8.2,69.0
Chittagong,1964,3,21.1,30.5,0.0,9.1,76.0
Chittagong,1964,4,22.8,30.7,7.0,7.2,78.0
Chittagong,1964,5,23.8,32.1,6.0,8.0,77.0
Chittagong,1964,6,24.5,30.7,14.0,5.5,83.0
Chittagong,1964,7,23.9,28.9,29.0,3.9,86.0
Chittagong,1964,8,24.4,30.1,21.0,5.4,85.0
Chittagong,1964,9,24.7,30.8,9.0,5.9,82.0
Chittagong,1964,10,24.0,30.2,9.0,5.9,83.0
Chittagong,1964,11,20.5,29.1,1.0,6.6,77.0
Chittagong,1964,12,15.9,26.4,0.0,7.4,73.0
